,X,Y,OBJECTID,Geocode_Address,OccurredFrom_Date_Year,OccurredFrom_Date_Month,OccurredFrom_Time,OccurredFrom_Timestamp,OccurredThrough_Date_Year,OccurredThrough_Date_Month,OccurredThrough_Time,OccurredThrough_Timestamp,Statute_Category,Statute_Description,Statute_CrimeCategory,Weapon_Description,Larceny_Type,Location_Type,Latitude,Longitude
3963,-77.65365035708379,43.1470063235588,46860,"139 Depew St, Rochester, NY, 14611",2018,9,800,2018-09-24T08:00:00.000Z,2018,9,1130,2018-09-24T11:30:00.000Z,M,Menacing 2nd: Weapon                                        ,4,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,43.146981,-77.6536796
3964,-77.63338063239792,43.1957614717455,46876,"143 Primrose St, Rochester, NY, 14615",2018,4,2215,2018-04-12T22:15:00.000Z,2018,4,1023,2018-04-13T10:23:00.000Z,F,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,7,* No Weapon Specified *,Motor Vehicle Theft,Street,43.1957687,-77.6333645
3965,-77.5908073779886,43.1521157624962,46908,"14 Arnold Park, Rochester, NY, 14607",2018,6,1800,2018-06-27T18:00:00.000Z,2018,6,845,2018-06-28T08:45:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Street,43.1521149,-77.5907897
3966,-77.60136757757859,43.185515107865896,46923,"22 Peckham St, Rochester, NY, 14621",2018,7,2100,2018-07-19T21:00:00.000Z,2018,7,1045,2018-07-20T10:45:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Other Outside Location,43.1855169,-77.6013631
3967,-77.5965710989974,43.1794765929667,46934,"88 Herald St, Rochester, NY, 14621",2018,8,2230,2018-08-13T22:30:00.000Z,2018,8,2230,2018-08-13T22:30:00.000Z,F,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,4,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,43.1794747,-77.5965733
3968,-77.5965710989974,43.1794765929667,46935,"88 Herald St, Rochester, NY, 14621",2018,6,300,2018-06-03T03:00:00.000Z,2018,6,455,2018-06-03T04:55:00.000Z,F,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,4,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,43.1794747,-77.5965733
3969,-77.6371012265982,43.1800616188572,46964,"37 Pierpont St, Rochester, NY, 14613",2018,3,1530,2018-03-23T15:30:00.000Z,2018,3,1530,2018-03-23T15:30:00.000Z,M,Menacing 2nd: Weapon                                        ,4,Simulated Firearm,* No Larceny Type Specified *,Street,43.1800277,-77.6371028
3970,-77.63512866886379,43.1824640155079,46968,"39 Lake View Park, Rochester, NY, 14613",2018,1,1700,2018-01-23T17:00:00.000Z,2018,1,700,2018-01-24T07:00:00.000Z,F,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,5,* No Weapon Specified *,* No Larceny Type Specified *,Garage/Shed,43.1823445,-77.63508399999999
3971,-77.63512866886379,43.1824640155079,46969,"39 Lake View Park, Rochester, NY, 14613",2018,1,1632,2018-01-02T16:32:00.000Z,2018,1,1651,2018-01-02T16:51:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Street,43.1823445,-77.63508399999999
3972,-77.6444332303792,43.190219601563605,47004,"514 Magee Ave, Rochester, NY, 14613",2018,8,1200,2018-08-10T12:00:00.000Z,2018,8,100,2018-08-30T01:00:00.000Z,F,Burglary 2nd: Illegal Entry: Dwelling                       ,5,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,43.1902153,-77.6444398
3973,-77.6282465349083,43.159564795605604,47036,"310 Jay St, Rochester, NY, 14608",2018,3,2128,2018-03-28T21:28:00.000Z,2018,3,2128,2018-03-28T21:28:00.000Z,F,Robbery 1st: Displays What Appears To Be a Firearm          ,3,Firearm,* No Larceny Type Specified *,Single Family Home,43.1595698,-77.6282628
3974,-77.6028145467434,43.177310065787,47050,"112 Bernard St, Rochester, NY, 14621",2018,9,1958,2018-09-14T19:58:00.000Z,2018,9,1958,2018-09-14T19:58:00.000Z,M,Unauthorized Use of a Vehicle: Without Owner Consent        ,7,* No Weapon Specified *,Motor Vehicle Theft,Street,43.177287,-77.6027955
